scope,window,ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,64,13,2010-02-02,2026-04-30,3940,31.077674827007982,11.28166497658167,2.5490076689590393,-12.201612441149734,2.547013763705446,7999.424933768288,0.022097147833164854,0.0946866673014446,-3.375077994860476e-14,284,7.208121827411168,284,7.208121827411168,50
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,57,13,2010-02-02,2026-04-30,3940,31.20448337724153,11.329693415072834,2.5475663722366564,-11.380932944868661,2.7418212134630617,8127.603600886368,0.14890569806671294,0.09324537057906168,0.8206794962810395,278,7.055837563451776,278,7.055837563451776,52
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,65,13,2010-02-02,2026-04-30,3940,30.957899722656723,11.262688793770963,2.5446770938396224,-12.201612441149724,2.5371974295996935,7880.078706578206,-0.09767795651809408,0.09035609218202767,-2.3092638912203256e-14,285,7.233502538071066,285,7.233502538071066,50
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,58,13,2010-02-02,2026-04-30,3940,31.080653573478067,11.309111894288549,2.5433183206793344,-11.380932944868661,2.730940751873198,8002.414250226147,0.025075894303249413,0.08899731902173968,0.8206794962810395,292,7.411167512690356,292,7.411167512690356,52
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,59,13,2010-02-02,2026-04-30,3940,31.080641422408494,11.309196727410157,2.54329924261061,-11.380932944868661,2.7309396842041735,8002.402053936051,0.02506374323367666,0.08897824095301532,0.8206794962810395,296,7.5126903553299496,296,7.5126903553299496,52
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,60,13,2010-02-02,2026-04-30,3940,30.972057327380554,11.290579468098422,2.5396791050060012,-11.380932944868661,2.721398806004298,7894.099116582032,-0.08352035179426309,0.08535810334840654,0.8206794962810395,296,7.5126903553299496,296,7.5126903553299496,50
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,54,13,2010-02-02,2026-04-30,3940,31.288719708520585,11.394343540267442,2.5396133645460934,-11.380932944868604,2.7492227447511617,8213.799680733853,0.23314202934576755,0.08529236288849873,0.8206794962810964,243,6.16751269035533,243,6.16751269035533,54
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,53,13,2010-02-02,2026-04-30,3940,31.276544361208792,11.39477378933515,2.5386755157472094,-11.380932944868682,2.7481529425327507,8201.288901327329,0.22096668203397485,0.0843545140896147,0.8206794962810182,237,6.015228426395939,237,6.015228426395939,54
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,67,13,2010-02-02,2026-04-30,3940,30.906485248874116,11.292389676948126,2.5346663258808837,-12.201612441149745,2.5329836853891936,7829.356288513007,-0.1490924303007013,0.080345324223289,-4.440892098500626e-14,262,6.6497461928934,262,6.6497461928934,52
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,69,13,2010-02-02,2026-04-30,3940,30.886112866914893,11.295741948201238,2.532515209314388,-12.201612441149734,2.5313140386881976,7809.341942648538,-0.1694648122599247,0.07819420765679341,-3.375077994860476e-14,259,6.573604060913706,259,6.573604060913706,54
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,68,13,2010-02-02,2026-04-30,3940,30.86781221878052,11.295431530678997,2.5312945463821186,-12.201612441149711,2.529814183794217,7791.403350575481,-0.18776546039429576,0.07697354472452389,-1.0658141036401503e-14,260,6.598984771573605,260,6.598984771573605,54
