window,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return
full,2010-02-02,2026-04-30,3940,31.055577679174817,11.730996744576789,2.4543210016575947,-12.2016124411497,2.545202761435078,7977.281669509388
last_10y,2016-05-03,2026-04-30,2426,31.83681850197331,13.605410433337525,2.177375844302428,-12.2016124411497,2.6092304320865214,1482.0379287001294
last_5y,2021-04-30,2026-04-30,1208,32.396842383845595,16.303544447338172,1.877712337136808,-12.201612441149711,2.655127962808247,306.72860448843767
last_3y,2023-05-04,2026-04-30,723,27.558673342917082,15.500939611778106,1.714865053459574,-12.201612441149745,2.2586091367708003,107.03542543181123
