config_id,equity_lb,real_lb,bond_lb,btc_lb,btc_thr,avg_oos_sharpe,avg_oos_cagr,worst_oos_max_dd
eq200_ra60_bd40_btc60_thr05,200,60,40,60,0.05,1.8567701859887105,0.053676787906716227,-0.11806378269655517
eq200_ra60_bd40_btc120_thr00,200,60,40,120,0.0,1.8295953237977338,0.053558060393114504,-0.11806378269655517
eq200_ra60_bd40_btc120_thr05,200,60,40,120,0.05,1.816030931248615,0.05194330302204072,-0.11806378269655517
eq200_ra60_bd40_btc60_thr00,200,60,40,60,0.0,1.8080472074358518,0.04985194699835368,-0.11806378269655517
eq200_ra60_bd100_btc60_thr05,200,60,100,60,0.05,0.7607033308868673,0.06546078739639409,-0.11806378269655474
eq200_ra60_bd100_btc120_thr00,200,60,100,120,0.0,0.745019030182898,0.06534457960273003,-0.11806378269655474
eq200_ra60_bd100_btc120_thr05,200,60,100,120,0.05,0.731238075886952,0.06376410502336334,-0.12750867685791567
eq200_ra60_bd100_btc60_thr00,200,60,100,60,0.0,0.7177811555915877,0.06171710680772705,-0.11847150309806873
eq80_ra140_bd100_btc60_thr05,80,140,100,60,0.05,0.6928589115094366,0.1173570816556458,-0.16952823685937277
eq80_ra140_bd100_btc120_thr00,80,140,100,120,0.0,0.691090419580373,0.11803823609671915,-0.16952823685937277
eq80_ra140_bd100_btc120_thr05,80,140,100,120,0.05,0.6801854812052279,0.11533305637291358,-0.1894190100765919
eq80_ra140_bd100_btc60_thr00,80,140,100,60,0.0,0.6772232730364109,0.11442834693756487,-0.19394026127715372
eq200_ra140_bd100_btc60_thr05,200,140,100,60,0.05,0.6650738439707856,0.08173805781462555,-0.11792393077997489
eq200_ra140_bd100_btc120_thr00,200,140,100,120,0.0,0.663704183080996,0.0826726853781136,-0.11950530317264417
eq200_ra140_bd100_btc120_thr05,200,140,100,120,0.05,0.6517238038814361,0.08044585894348517,-0.11950530317264428
eq200_ra140_bd100_btc60_thr00,200,140,100,60,0.0,0.647277533018463,0.07926915575055722,-0.11792393077997489
eq80_ra60_bd100_btc60_thr05,80,60,100,60,0.05,0.6447527798689259,0.09006750358072206,-0.1823552793690298
eq80_ra60_bd100_btc120_thr00,80,60,100,120,0.0,0.6427361577790055,0.09055163762345009,-0.19357951420926728
eq80_ra60_bd100_btc120_thr05,80,60,100,120,0.05,0.632707171929397,0.08879245362527999,-0.21549020885403722
eq80_ra140_bd40_btc60_thr05,80,140,40,60,0.05,0.6270884025901934,0.10710826775653655,-0.176022599084368
eq80_ra140_bd40_btc120_thr00,80,140,40,120,0.0,0.6244698745185365,0.10797380579090787,-0.176022599084368
eq80_ra60_bd100_btc60_thr00,80,60,100,60,0.0,0.6214257378584995,0.08669953956279801,-0.23262328256940762
eq80_ra140_bd40_btc120_thr05,80,140,40,120,0.05,0.6158939943350673,0.1056931068535889,-0.176022599084368
eq80_ra140_bd40_btc60_thr00,80,140,40,60,0.0,0.610833201624485,0.10417680957824967,-0.176022599084368
eq200_ra140_bd40_btc60_thr05,200,140,40,60,0.05,0.5719843492372849,0.0712080971917904,-0.117665303254789
eq200_ra140_bd40_btc120_thr00,200,140,40,120,0.0,0.5671408014716337,0.07211514107834975,-0.11950530317264434
eq80_ra60_bd40_btc60_thr05,80,60,40,60,0.05,0.5629767438867179,0.07697188875309147,-0.1626715843455226
eq80_ra60_bd40_btc120_thr00,80,60,40,120,0.0,0.5575392353852958,0.07746832720866692,-0.1626715843455226
eq200_ra140_bd40_btc120_thr05,200,140,40,120,0.05,0.5562772795851891,0.06999524739922032,-0.11950530317264398
eq200_ra140_bd40_btc60_thr00,200,140,40,60,0.0,0.5521249016755466,0.06863854212529012,-0.117665303254789
eq80_ra60_bd40_btc120_thr05,80,60,40,120,0.05,0.5477846109412866,0.07566439444855155,-0.1626715843455226
eq80_ra60_bd40_btc60_thr00,80,60,40,60,0.0,0.537675936574704,0.073518340544022,-0.1632434045140437
