config_id,start,end,days,cagr,max_dd,sharpe,total_return,equity_lb,real_lb,bond_lb,btc_lb,btc_thr
eq80_ra140_bd100_btc60_thr05,2003-08-22,2026-03-18,6987,0.13675412853174196,-0.23551548676915773,0.8002573834743962,17.0484818413697,80,140,100,60,0.05
eq80_ra140_bd100_btc120_thr00,2003-08-22,2026-03-18,6987,0.13722977484697596,-0.23551548676915773,0.7978896795612039,17.219706833557648,80,140,100,120,0.0
eq80_ra140_bd100_btc120_thr05,2003-08-22,2026-03-18,6987,0.13533683359273851,-0.23551548676915773,0.7892437091718633,16.547349100947198,80,140,100,120,0.05
eq80_ra140_bd100_btc60_thr00,2003-08-22,2026-03-18,6987,0.13470141125562174,-0.23551548676915773,0.7871184641267168,16.327017079874278,80,140,100,60,0.0
eq80_ra140_bd40_btc60_thr05,2003-08-22,2026-03-18,6987,0.1237619200249318,-0.2695031639303491,0.7423475839469528,12.923931282058414,80,140,40,60,0.05
eq80_ra140_bd40_btc120_thr00,2003-08-22,2026-03-18,6987,0.1243404954084455,-0.2695031639303491,0.7408369859838125,13.08663920349975,80,140,40,120,0.0
eq80_ra140_bd40_btc120_thr05,2003-08-22,2026-03-18,6987,0.12281380003843756,-0.2695031639303491,0.7337679658913012,12.661175932876162,80,140,40,120,0.05
eq80_ra140_bd40_btc60_thr00,2003-08-22,2026-03-18,6987,0.12179495003801621,-0.2695031639303491,0.7295707783853449,12.384103280848715,80,140,40,60,0.0
eq200_ra140_bd100_btc60_thr05,2003-08-22,2026-03-18,6987,0.10784998900986187,-0.20674323320344415,0.712856737886687,9.091893619219418,200,140,100,60,0.05
eq200_ra140_bd100_btc120_thr00,2003-08-22,2026-03-18,6987,0.10851290636702116,-0.20674323320344415,0.7112932173903568,9.229077839443166,200,140,100,120,0.0
eq200_ra140_bd100_btc120_thr05,2003-08-22,2026-03-18,6987,0.10693126750868398,-0.20674323320344415,0.702939214474392,8.904677317172661,200,140,100,120,0.05
eq200_ra140_bd100_btc60_thr00,2003-08-22,2026-03-18,6987,0.10609244306979626,-0.20674323320344415,0.700239301441429,8.736644962420781,200,140,100,60,0.0
eq80_ra60_bd100_btc60_thr05,2003-08-22,2026-03-18,6987,0.10300400351701966,-0.22035105069644179,0.6826621558500632,8.141147968092103,80,60,100,60,0.05
eq80_ra60_bd100_btc120_thr00,2003-08-22,2026-03-18,6987,0.10335667692441186,-0.22035105069644179,0.6785168710724442,8.20734560653269,80,60,100,120,0.0
eq80_ra60_bd100_btc120_thr05,2003-08-22,2026-03-18,6987,0.10207337421229612,-0.22035105069644179,0.6719434462863656,7.9686432482357485,80,60,100,120,0.05
eq200_ra140_bd40_btc60_thr05,2003-08-22,2026-03-18,6987,0.09687774874694699,-0.20651813063931018,0.6671513413076104,7.0612980830477365,200,140,40,60,0.05
eq80_ra60_bd100_btc60_thr00,2003-08-22,2026-03-18,6987,0.10054010035442973,-0.2326232825694061,0.6655299006525653,7.691196089923851,80,60,100,60,0.0
eq200_ra140_bd40_btc120_thr00,2003-08-22,2026-03-18,6987,0.0974987877137532,-0.20651813063931018,0.6654440423508425,7.164947678720862,200,140,40,120,0.0
eq200_ra140_bd40_btc120_thr05,2003-08-22,2026-03-18,6987,0.0960454928076675,-0.20651813063931018,0.6575159144634231,6.924367219970613,200,140,40,120,0.05
eq200_ra140_bd40_btc60_thr00,2003-08-22,2026-03-18,6987,0.09511201961079796,-0.20651813063931018,0.6540949479737357,6.773428271094917,200,140,40,60,0.0
eq200_ra60_bd100_btc60_thr05,2003-08-22,2026-03-18,6987,0.08667619101280599,-0.20674323320344415,0.6453230567105005,5.528461068859502,200,60,100,60,0.05
eq200_ra60_bd100_btc120_thr00,2003-08-22,2026-03-18,6987,0.08659212262123117,-0.20674323320344415,0.6388077986002542,5.517070934861188,200,60,100,120,0.0
eq200_ra60_bd100_btc120_thr05,2003-08-22,2026-03-18,6987,0.08544659811823441,-0.20674323320344415,0.6318601408921447,5.363747840184945,200,60,100,120,0.05
eq200_ra60_bd100_btc60_thr00,2003-08-22,2026-03-18,6987,0.08395692086178186,-0.20674323320344415,0.6256323725232638,5.169512186682914,200,60,100,60,0.0
eq80_ra60_bd40_btc60_thr05,2003-08-22,2026-03-18,6987,0.09097504609196383,-0.2513044604553649,0.6181099249612608,6.136943475321813,80,60,40,60,0.05
eq80_ra60_bd40_btc120_thr00,2003-08-22,2026-03-18,6987,0.09132387337242531,-0.2513044604553649,0.6145861748970183,6.188627225043346,80,60,40,120,0.0
eq80_ra60_bd40_btc120_thr05,2003-08-22,2026-03-18,6987,0.09005453869722002,-0.2513044604553649,0.6078702349221244,6.002256619917159,80,60,40,120,0.05
eq80_ra60_bd40_btc60_thr00,2003-08-22,2026-03-18,6987,0.0885380230091315,-0.2513044604553649,0.6011540304712699,5.7856452888585945,80,60,40,60,0.0
eq200_ra60_bd40_btc60_thr05,2003-08-22,2026-03-18,6987,0.07720970547871864,-0.2123035069052783,0.5958303757814468,4.358509549542948,200,60,40,60,0.05
eq200_ra60_bd40_btc120_thr00,2003-08-22,2026-03-18,6987,0.07712636944165685,-0.2123035069052783,0.5895411119993975,4.349160617052301,200,60,40,120,0.0
eq200_ra60_bd40_btc120_thr05,2003-08-22,2026-03-18,6987,0.0759908145325996,-0.2123035069052783,0.5823823990235076,4.2233131799671,200,60,40,120,0.05
eq200_ra60_bd40_btc60_thr00,2003-08-22,2026-03-18,6987,0.07451413354460246,-0.2123035069052783,0.5757594991172235,4.06388814116233,200,60,40,60,0.0
