window,sleeve,nominal_weight,effective_weight_latest,sleeve_vol,corr_to_portfolio,variance_contribution_pct
60d,Sub-A,0.1,0.0624749846937944,0.0942624265554423,0.32081072204107763,0.027051774063351942
60d,Sub-A-DK,0.15,0.20140518417889247,0.1587325768574842,-0.11361581375816508,-0.05787005830580055
60d,Sub-B,0.6,0.4284615344923874,0.17524642434749704,0.7993674016827179,0.8580016911340966
60d,Microcap,0.15,0.30765829663492583,0.1017219622069989,0.3946416639488671,0.17281659310835207
252d,Sub-A,0.1,0.0624749846937944,0.1805190794729751,0.49863637624336954,0.06471261716748813
252d,Sub-A-DK,0.15,0.20140518417889247,0.16903737774423266,0.4791726409832864,0.177816918109107
252d,Sub-B,0.6,0.4284615344923874,0.17125542755033224,0.7690869602213184,0.6718788388011817
252d,Microcap,0.15,0.30765829663492583,0.11315309787869277,0.22386004138634227,0.08559162592222332
full_common,Sub-A,0.1,0.0624749846937944,0.16201921411809897,0.26685444866559044,0.04127116131513713
full_common,Sub-A-DK,0.15,0.20140518417889247,0.16673443087558518,0.36536691808538796,0.21774914625318909
full_common,Sub-B,0.6,0.4284615344923874,0.129910324809617,0.8016831188164052,0.5641150692157546
full_common,Microcap,0.15,0.30765829663492583,0.10901113325806792,0.3413704069771426,0.17686462321591917
