case,window,w_suba,w_adk,w_microcap,w_subb,annual,vol,sharpe,max_dd,calmar,total_return
baseline_10_15_15_60,last_1y,0.1,0.15,0.15,0.6,0.42760938179159336,0.08129151688800446,3.0634400053879327,-0.05298436233590076,8.070482741317374,0.42726155916443287
baseline_10_15_15_60,last_3y,0.1,0.15,0.15,0.6,0.3439045184745124,0.07945285888200651,2.607392174085219,-0.05853843325880714,5.874850065666418,1.427689308874589
baseline_10_15_15_60,last_5y,0.1,0.15,0.15,0.6,0.2849545790073926,0.07711742579626368,2.2824252026766443,-0.05853843325880703,4.867820389855097,2.502388773605848
baseline_10_15_15_60,last_10y,0.1,0.15,0.15,0.6,0.29154665255032963,0.07578785610166934,2.3677420239625113,-0.0698444400652346,4.174228503772462,11.910672955204232
baseline_10_15_15_60,full_common,0.1,0.15,0.15,0.6,0.2859002575705458,0.07624242125997484,2.314405692627431,-0.0719561276245656,3.973257969943068,13.055136689978024
balanced_sharpe_12p5_20_32p5_35,last_1y,0.125,0.2,0.325,0.35,0.3766875397156164,0.07584388349536475,2.9471623156172537,-0.03680009832356079,10.2360470997559,0.3763863407334016
balanced_sharpe_12p5_20_32p5_35,last_3y,0.125,0.2,0.325,0.35,0.33432212569999376,0.08019763611113842,2.5223427589341023,-0.06762185938363208,4.943994867152628,1.3761168764067473
balanced_sharpe_12p5_20_32p5_35,last_5y,0.125,0.2,0.325,0.35,0.3160886935548428,0.08085512569058867,2.384988620338299,-0.06762185938363208,4.674356730737166,2.9477000256295343
balanced_sharpe_12p5_20_32p5_35,last_10y,0.125,0.2,0.325,0.35,0.31012271211175757,0.07113335462575893,2.6564658440384226,-0.06762185938363197,4.586131096342251,13.89221043581136
balanced_sharpe_12p5_20_32p5_35,full_common,0.125,0.2,0.325,0.35,0.3148019046417738,0.07093829204769714,2.698276300390484,-0.06762185938363208,4.6553275451336065,16.753926484747964
dd6_candidate_22p5_10_25_42p5,last_1y,0.225,0.1,0.25,0.425,0.422758713195984,0.07498787027086998,3.2830667309239807,-0.04372135504078123,9.669387254847306,0.42241538603649076
dd6_candidate_22p5_10_25_42p5,last_3y,0.225,0.1,0.25,0.425,0.3364777677087629,0.07743483332058797,2.623911697298291,-0.0599344573044841,5.614095511023986,1.3876542179089468
dd6_candidate_22p5_10_25_42p5,last_5y,0.225,0.1,0.25,0.425,0.3006465318013505,0.07611897200216847,2.421447821079661,-0.05993445730448399,5.0162551781186755,2.7215023567452903
dd6_candidate_22p5_10_25_42p5,last_10y,0.225,0.1,0.25,0.425,0.29552117716280146,0.06968569995863369,2.599151509388666,-0.05993445730448399,4.9307391849978774,12.313469182902613
dd6_candidate_22p5_10_25_42p5,full_common,0.225,0.1,0.25,0.425,0.2966108445433373,0.07009575235945668,2.5926366869984023,-0.05993445730448399,4.948920168517925,14.33550697789336
recent_sharpe_27p5_12p5_20_40,last_1y,0.275,0.125,0.2,0.4,0.4373602773393388,0.07600637405077905,3.3328460012910495,-0.04528801262840898,9.657307794181822,0.4370033837866092
recent_sharpe_27p5_12p5_20_40,last_3y,0.275,0.125,0.2,0.4,0.3379170105272995,0.07596041868861156,2.683103617126347,-0.05855832601866917,5.770605710613501,1.3953780328309002
recent_sharpe_27p5_12p5_20_40,last_5y,0.275,0.125,0.2,0.4,0.3008313068790025,0.07376962758840577,2.497489571828046,-0.05855832601866917,5.137293487233455,2.7241462037969573
recent_sharpe_27p5_12p5_20_40,last_10y,0.275,0.125,0.2,0.4,0.29194507751609633,0.06952740825894355,2.5774516763750825,-0.05855832601866917,4.985543429349746,11.950550530080013
recent_sharpe_27p5_12p5_20_40,full_common,0.275,0.125,0.2,0.4,0.29017473240024083,0.07028982536423682,2.536785073302435,-0.05855832601866917,4.955311261932748,13.55403707089166
