rank,peak_date,trough_date,recovery_date,portfolio_drawdown,sleeve,sleeve_return_peak_to_trough,weighted_contribution,share_of_linear_contribution,episode_recovered
1,2015-12-25,2016-01-15,2016-06-08,-0.0719561276245656,Sub-A,-0.011381826079398416,-0.0011381826079398416,0.015523038305644945,True
1,2015-12-25,2016-01-15,2016-06-08,-0.0719561276245656,Sub-A-DK,0.05044071621084778,0.007566107431627167,-0.10318992283528299,True
1,2015-12-25,2016-01-15,2016-06-08,-0.0719561276245656,Sub-B,-0.14061916700575294,-0.08437150020345176,1.15069587289998,True
1,2015-12-25,2016-01-15,2016-06-08,-0.0719561276245656,Microcap,0.030809474686012583,0.004621421202901888,-0.06302898837034195,True
2,2018-01-28,2018-03-25,2018-07-25,-0.06984444006523449,Sub-A,-0.0455912505280327,-0.00455912505280327,0.07287515133177982,True
2,2018-01-28,2018-03-25,2018-07-25,-0.06984444006523449,Sub-A-DK,0.08792791579716241,0.013189187369574362,-0.21082203588821052,True
2,2018-01-28,2018-03-25,2018-07-25,-0.06984444006523449,Sub-B,-0.11480894884814619,-0.06888536930888771,1.1010954195792602,True
2,2018-01-28,2018-03-25,2018-07-25,-0.06984444006523449,Microcap,-0.015369705049394833,-0.002305455757409225,0.036851464977170505,True
3,2024-04-07,2024-05-13,2024-09-24,-0.05853843325880714,Sub-A,-0.011525109932025823,-0.0011525109932025823,0.02470648178593675,True
3,2024-04-07,2024-05-13,2024-09-24,-0.05853843325880714,Sub-A-DK,-0.08732262334082685,-0.013098393501124028,0.2807914391873134,True
3,2024-04-07,2024-05-13,2024-09-24,-0.05853843325880714,Sub-B,-0.03546041206040429,-0.021276247236242572,0.4561008249948348,True
3,2024-04-07,2024-05-13,2024-09-24,-0.05853843325880714,Microcap,-0.07413980629203698,-0.011120970943805547,0.23840125403191506,True
4,2020-02-23,2020-02-28,2020-05-07,-0.057494113376138856,Sub-A,-0.06211436745333654,-0.006211436745333654,0.09218593732703494,True
4,2020-02-23,2020-02-28,2020-05-07,-0.057494113376138856,Sub-A-DK,-0.024824904034037254,-0.0037237356051055878,0.05526516186011209,True
4,2020-02-23,2020-02-28,2020-05-07,-0.057494113376138856,Sub-B,-0.09574044449817565,-0.057444266698905386,0.8525489008128531,True
4,2020-02-23,2020-02-28,2020-05-07,-0.057494113376138856,Microcap,0.0,0.0,-0.0,True
5,2026-02-11,2026-03-26,,-0.05298436233590087,Sub-A,-0.06060341294707294,-0.0060603412947072945,0.08779802354477735,False
5,2026-02-11,2026-03-26,,-0.05298436233590087,Sub-A-DK,-0.01747443517566738,-0.002621165276350107,0.037973625486855456,False
5,2026-02-11,2026-03-26,,-0.05298436233590087,Sub-B,-0.09691118982435709,-0.05814671389461425,0.8423892826018384,False
5,2026-02-11,2026-03-26,,-0.05298436233590087,Microcap,-0.01465147794268773,-0.0021977216914031593,0.03183906836652868,False
6,2024-12-16,2024-12-30,2025-02-19,-0.05125305016866666,Sub-A,0.0007503492398419631,7.503492398419631e-05,-0.0016368269646231603,True
6,2024-12-16,2024-12-30,2025-02-19,-0.05125305016866666,Sub-A-DK,0.022105495830027078,0.0033158243745040616,-0.07233206163154221,True
6,2024-12-16,2024-12-30,2025-02-19,-0.05125305016866666,Sub-B,-0.05957015291931789,-0.03574209175159073,0.7796851978334869,True
6,2024-12-16,2024-12-30,2025-02-19,-0.05125305016866666,Microcap,-0.0899364231056643,-0.013490463465849645,0.29428369076267846,True
7,2022-03-08,2022-07-06,2022-08-09,-0.04984138879698252,Sub-A,0.24091007732727387,0.02409100773272739,-0.5105618930596881,True
7,2022-03-08,2022-07-06,2022-08-09,-0.04984138879698252,Sub-A-DK,0.12468137948614144,0.018702206922921214,-0.39635677664031205,True
7,2022-03-08,2022-07-06,2022-08-09,-0.04984138879698252,Sub-B,-0.14183072369159366,-0.08509843421495619,1.8034952357007332,True
7,2022-03-08,2022-07-06,2022-08-09,-0.04984138879698252,Microcap,-0.03253376044564138,-0.0048800640668462065,0.1034234339992669,True
8,2019-09-04,2019-11-24,2019-12-24,-0.04846572404480387,Sub-A,0.001376879898568495,0.0001376879898568495,-0.0024711326445166484,True
8,2019-09-04,2019-11-24,2019-12-24,-0.04846572404480387,Sub-A-DK,-0.011471283414242306,-0.001720692512136346,0.030881847010303772,True
8,2019-09-04,2019-11-24,2019-12-24,-0.04846572404480387,Sub-B,-0.09143526066950125,-0.05486115640170075,0.9846116182037654,True
8,2019-09-04,2019-11-24,2019-12-24,-0.04846572404480387,Microcap,0.004837238769106467,0.00072558581536597,-0.013022332569552592,True
9,2018-10-03,2018-10-11,2018-11-07,-0.04393133209759559,Sub-A,-0.09106042957331129,-0.00910604295733113,0.1872820871863789,True
9,2018-10-03,2018-10-11,2018-11-07,-0.04393133209759559,Sub-A-DK,0.03644474613649584,0.005466711920474376,-0.11243272443480405,True
9,2018-10-03,2018-10-11,2018-11-07,-0.04393133209759559,Sub-B,-0.07659096158130374,-0.045954576948782244,0.9451382040544916,True
