pair,latest_252d_corr,median_252d_corr,max_252d_corr,min_252d_corr,latest_252d_end
Sub-A/Sub-A-DK,0.5811297190712824,0.34039899785470495,0.7468578980548795,0.004838470587179377,2026-04-17
Sub-A/Sub-B,0.19709033708123322,0.012693910794657787,0.20983596109723057,-0.1903719790033691,2026-04-17
Sub-A/Microcap,-0.07916015355483011,-0.07701416774085897,0.13921977775470817,-0.3031893863394219,2026-04-17
Sub-A-DK/Sub-B,-0.01065750018372839,-0.016103648412678053,0.1812713430516812,-0.24454953887244138,2026-04-17
Sub-A-DK/Microcap,-0.025478463084179052,-0.04842811776794046,0.18434109852605574,-0.3083481639032938,2026-04-17
Sub-B/Microcap,-0.2006997058219757,-0.05494323571127409,0.1421115664991925,-0.23351448678742567,2026-04-17
