,Sub-A,Sub-A-DK,Sub-B,Microcap
Sub-A,1.0,0.35523559792604087,0.03247683542514446,-0.07096609733644374
Sub-A-DK,0.35523559792604087,1.0,-0.020633749186137064,-0.055750513698639294
Sub-B,0.03247683542514446,-0.020633749186137064,1.0,-0.05690052198990003
Microcap,-0.07096609733644374,-0.055750513698639294,-0.05690052198990003,1.0
