window,case,ma,days,is_current_param,start,end,n_days,annual,vol,sharpe,max_dd,total_return,annual_delta,sharpe_delta,max_dd_delta,defense_days_pct,switch_count
last_5y,volume_only,20,16,False,2021-04-19,2026-04-17,1211,39.03086631896908,21.008454595015408,1.7349788041496514,-15.707665516652902,418.4114151368981,1.5650492534506668,0.07098726171709879,1.6643352008904984,1.6515276630883566,12
last_3y,volume_only,20,16,False,2023-04-17,2026-04-17,727,37.13601362646956,21.542097281807564,1.6317646640613384,-15.707665516652902,157.9576654340506,2.411864482759114,0.1026907354946538,1.6643352008905339,1.925722145804677,8
last_5y,volume_plus_stirrer,20,16,False,2021-04-19,2026-04-17,1211,38.35585901026563,21.12194716089828,1.7028238378008551,-15.707665516653012,405.9635224708932,0.8900419447472174,0.03883229536830246,1.6643352008903882,0.5780346820809248,8
last_3y,volume_plus_stirrer,20,16,False,2023-04-17,2026-04-17,727,36.11803399734459,21.65630142538224,1.5884816625601275,-15.707665516652858,152.25434970883322,1.393884853634141,0.0594077339934429,1.6643352008905783,0.8253094910591471,6
last_5y,volume_only,25,16,False,2021-04-19,2026-04-17,1211,37.08721124059024,20.695016528325226,1.6873345307384624,-15.707665516652847,383.21542005582313,-0.3786058249281723,0.02334298830590975,1.6643352008905534,3.8810900082576385,17
last_3y,volume_only,25,16,False,2023-04-17,2026-04-17,727,37.94965785193667,21.500230851143133,1.6631774225822975,-15.707665516652913,162.57750450546266,3.225508708226222,0.13410349401561295,1.6643352008905232,3.3012379642365883,10
last_5y,volume_plus_stirrer,25,16,False,2021-04-19,2026-04-17,1211,37.74093068450133,21.019486513996966,1.6880435833418743,-15.707665516652868,394.83272629765116,0.275113618982914,0.02405204090932167,1.664335200890532,0.990916597853014,11
last_3y,volume_plus_stirrer,25,16,False,2023-04-17,2026-04-17,727,36.11803399734459,21.65630142538224,1.5884816625601275,-15.707665516652858,152.25434970883322,1.393884853634141,0.0594077339934429,1.6643352008905783,0.8253094910591471,6
last_5y,volume_only,30,16,False,2021-04-19,2026-04-17,1211,38.571715295734464,20.904437218008777,1.7261096392651856,-15.707665516652902,409.91786243526246,1.1058982302160487,0.06211809683263292,1.6643352008904984,3.5507844756399667,17
last_3y,volume_only,30,16,False,2023-04-17,2026-04-17,727,37.7192885430057,21.495606169616927,1.6553919694466597,-15.707665516652847,161.26392568665406,2.9951393992952546,0.1263180408799751,1.664335200890589,4.126547455295736,12
last_5y,volume_plus_stirrer,30,16,False,2021-04-19,2026-04-17,1211,37.980166639677584,21.097563251988475,1.6911408895730506,-15.707665516652858,399.13960607545,0.5143495741591693,0.027149347140497992,1.6643352008905428,0.6606110652353426,9
last_3y,volume_plus_stirrer,30,16,False,2023-04-17,2026-04-17,727,36.11803399734459,21.65630142538224,1.5884816625601275,-15.707665516652858,152.25434970883322,1.393884853634141,0.0594077339934429,1.6643352008905783,0.8253094910591471,6
last_5y,volume_only,35,16,False,2021-04-19,2026-04-17,1211,39.44981964146426,20.821226357950696,1.763721247360452,-15.707665516652858,426.2597392184309,1.9840025759458442,0.09972970492789934,1.6643352008905428,3.963666391412056,17
last_3y,volume_only,35,16,False,2023-04-17,2026-04-17,727,38.70290172846722,21.384668596057043,1.6974938923180827,-15.707665516652902,166.9032687997006,3.9787525847567693,0.16841996375139812,1.6643352008905339,3.988995873452544,12
last_5y,volume_plus_stirrer,35,16,False,2021-04-19,2026-04-17,1211,38.3370291750355,21.08482033703846,1.7047826291138908,-15.707665516652957,405.61973919072045,0.8712121095170815,0.04079108668133813,1.6643352008904433,0.990916597853014,11
last_3y,volume_plus_stirrer,35,16,False,2023-04-17,2026-04-17,727,36.22306905129662,21.658967825636147,1.592022402348382,-15.707665516652902,152.8388877526234,1.4989199075861706,0.06294847378169743,1.6643352008905339,0.6877579092159559,6
last_5y,volume_only,40,16,True,2021-04-19,2026-04-17,1211,38.719977064690255,20.72945043988114,1.744300568197479,-15.707665516652868,412.6482061056051,1.25415999917184,0.08030902576492638,1.664335200890532,5.037159372419488,23
