ma_window,slope_window,segment,start,end,rows,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,total_return,final_nav,mode,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days
60,20,last_1y,2025-05-06,2026-04-30,242,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,0.9647017214835085,1.9647017214835085,formal,20,0.2,1.0,0.5,
60,20,last_3y,2023-05-04,2026-04-30,726,0.6053609630223616,0.21445616037964196,0.4256668012774598,0.19259137747765326,1.9445455462439678,-0.1090750891351503,3.9025116060188063,1.8871730528135982,2.887173052813598,formal,20,0.2,1.0,0.5,
60,20,last_5y,2021-05-06,2026-04-30,1210,0.6866153381439954,0.23869435738480999,0.31788748844704906,0.18153917027441738,1.6172232267586202,-0.1655157579290112,1.9205874559894731,2.956766013065081,3.956766013065081,formal,20,0.2,1.0,0.5,
60,20,last_10y,2016-05-04,2026-04-30,2428,0.6857013575142238,0.25196380474367075,0.2905951128270472,0.18484322780740614,1.4772164697811707,-0.19518424476127205,1.4888246394193918,11.780127679686602,12.780127679686602,formal,20,0.2,1.0,0.5,
60,20,full_common,2010-09-29,2026-04-30,3785,0.7022448005863979,0.2546913501058382,0.2979479055897001,0.2091446490948323,1.3574408906521913,-0.34824605820954946,0.8555672018846411,57.20815128484191,58.20815128484191,formal,20,0.2,1.0,0.5,
60,20,last_1y,2025-05-06,2026-04-30,242,0.7035123966942148,0.19369834710743802,0.9189993692122038,0.19917062629168605,3.3452556385189447,-0.07169898931211016,12.817466159972525,0.8977149455126485,1.8977149455126485,formal,20,0.2,1.0,0.5,0.0
60,20,last_3y,2023-05-04,2026-04-30,726,0.6030854272611192,0.2194707689888641,0.4582519422866571,0.2541042971952611,1.6084578124812745,-0.13941090654771715,3.287059482177659,2.0889838057298227,3.0889838057298227,formal,20,0.2,1.0,0.5,0.0
60,20,last_5y,2021-05-06,2026-04-30,1210,0.6976467109021262,0.24387254403794656,0.34767866829045624,0.2250440043766821,1.4378153159663767,-0.18988341661934893,1.831011230366855,3.4229735818187885,4.4229735818187885,formal,20,0.2,1.0,0.5,0.0
60,20,last_10y,2016-05-04,2026-04-30,2428,0.7052993757892587,0.2566435778775928,0.2926704070903696,0.20856344246517342,1.3361562860519374,-0.2312364453014667,1.2656759478758224,11.986870215562037,12.986870215562037,formal,20,0.2,1.0,0.5,0.0
60,20,full_common,2010-09-29,2026-04-30,3785,0.7227846977226524,0.259017008519092,0.2979191659193121,0.2235691735751755,1.281836796302618,-0.3484112900347518,0.8550789668428844,57.18806901150867,58.18806901150867,formal,20,0.2,1.0,0.5,0.0
