window,strategy,start,end,days,years,total_return,annual,vol,sharpe,max_dd,calmar,monthly_win_rate
full,baseline,2009-11-24,2026-04-17,5439,16.39425051334702,5.829146462202862,0.12433011656023996,0.12320392171012984,0.7843480591960152,-0.26989286148833125,0.4606647092280184,0.6262626262626263
full,cc_expiry_delta_0.10,2009-11-24,2026-04-17,5439,16.39425051334702,4.516332143326162,0.10978396485459774,0.125652638142107,0.6927930623559161,-0.26038636015690786,0.4216194918521935,0.6363636363636364
full,cc_expiry_delta_0.15,2009-11-24,2026-04-17,5439,16.39425051334702,4.189431485925418,0.1056563310930283,0.1277355789587695,0.6614393440922777,-0.2544512276304982,0.4152321530413574,0.6363636363636364
full,cc_expiry_delta_0.20,2009-11-24,2026-04-17,5439,16.39425051334702,3.723252269257273,0.09932646411722068,0.13069060444263816,0.6160861190492768,-0.25286626362162623,0.39280235605429276,0.6464646464646465
full,cc_roll_10d_delta_0.10,2009-11-24,2026-04-17,5439,16.39425051334702,4.813843563237708,0.11334551990002129,0.12432762874283165,0.7183852958435704,-0.2555953820998189,0.44345683779120826,0.6464646464646465
full,cc_roll_10d_delta_0.15,2009-11-24,2026-04-17,5439,16.39425051334702,4.390294937268815,0.1082204629795942,0.1251735410246142,0.6863798560874482,-0.24951550325219674,0.4337224002879325,0.6414141414141414
full,cc_roll_10d_delta_0.20,2009-11-24,2026-04-17,5439,16.39425051334702,3.914446149331564,0.10199055139198099,0.1261943886375901,0.6479197714181026,-0.2440006378510321,0.41799297038825173,0.6313131313131313
full,cc_roll_20d_delta_0.10,2009-11-24,2026-04-17,5439,16.39425051334702,5.118333834236367,0.11681762395135897,0.12358195947564876,0.7411164310672511,-0.2770660898062123,0.42162367842656046,0.6161616161616161
full,cc_roll_20d_delta_0.15,2009-11-24,2026-04-17,5439,16.39425051334702,4.719942049070013,0.1122402634648838,0.12411640357885205,0.7133252778043208,-0.2795241855023908,0.40154043652127486,0.6111111111111112
full,cc_roll_20d_delta_0.20,2009-11-24,2026-04-17,5439,16.39425051334702,4.265816461136762,0.10664223247214832,0.12486677391829087,0.6790967957876128,-0.2812590621061747,0.37916016527101665,0.6161616161616161
10Y,baseline,2016-04-17,2026-04-17,3651,9.998631074606434,2.986872155592144,0.14834254229814636,0.12022743133699246,0.8543813616894519,-0.26989286148833147,0.5496349235771091,0.6611570247933884
10Y,cc_expiry_delta_0.10,2016-04-17,2026-04-17,3651,9.998631074606434,2.0854565111034957,0.11927973893216182,0.1232463832409961,0.6929201592617015,-0.2603863601569073,0.4580875083483042,0.6776859504132231
10Y,cc_expiry_delta_0.15,2016-04-17,2026-04-17,3651,9.998631074606434,1.871046365217143,0.11124620721773981,0.1255398115995129,0.6429814346298579,-0.25445122763049743,0.4372005128593308,0.6859504132231405
10Y,cc_expiry_delta_0.20,2016-04-17,2026-04-17,3651,9.998631074606434,1.6300932090188471,0.10154657345104057,0.12864724851510495,0.5835529324168115,-0.252866263621627,0.40158213277113314,0.6859504132231405
10Y,cc_roll_10d_delta_0.10,2016-04-17,2026-04-17,3651,9.998631074606434,2.257993412418874,0.1253873860837562,0.12140415713989491,0.7324610990605758,-0.2555953820998179,0.49056984149576127,0.6942148760330579
10Y,cc_roll_10d_delta_0.15,2016-04-17,2026-04-17,3651,9.998631074606434,1.9801541843976338,0.11539929650387615,0.12237589212978142,0.6773420376801945,-0.24951550325219551,0.4624934923872741,0.6859504132231405
10Y,cc_roll_10d_delta_0.20,2016-04-17,2026-04-17,3651,9.998631074606434,1.7120390339299538,0.10493193518032706,0.12353670860132472,0.6194712799772868,-0.24400063785103143,0.4300477904668047,0.6694214876033058
10Y,cc_roll_20d_delta_0.10,2016-04-17,2026-04-17,3651,9.998631074606434,2.3848876745951966,0.12969622158778038,0.12085971431800739,0.7570490371106632,-0.2770660898062135,0.46810572047446497,0.6446280991735537
10Y,cc_roll_20d_delta_0.15,2016-04-17,2026-04-17,3651,9.998631074606434,2.132888207442915,0.1209888163689139,0.12152453073636242,0.7096303155064451,-0.27952418550239067,0.43283845421626005,0.6446280991735537
10Y,cc_roll_20d_delta_0.20,2016-04-17,2026-04-17,3651,9.998631074606434,1.8830154972166322,0.1117086721996936,0.1224145740501212,0.6584986645579309,-0.28125906210617435,0.39717359278373743,0.6528925619834711
