ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count
35,6,2023-07-05,2026-04-30,681,26.07342946222846,14.70035618625117,1.7190621717517127,-9.944336460768922,2.6219375787504675,92.20163629368238,1.7751169815236416,0.18830251022995514,2.257275980380834,74,10.866372980910425,74,10.866372980910425,46
35,8,2023-07-05,2026-04-30,681,25.72284507968583,14.843172848040576,1.6843550781271754,-9.854213210426078,2.610339814087869,90.69823977485763,1.4245325989810098,0.15359541660541787,2.3473992307236777,59,8.663729809104257,59,8.663729809104257,28
35,4,2023-07-05,2026-04-30,681,25.018540717739725,14.48010929321581,1.6823857110649187,-9.944336460768966,2.515858229097481,87.700985047901,0.720228237034906,0.15162604954316117,2.25727598038079,95,13.950073421439061,95,13.950073421439061,60
30,6,2023-07-05,2026-04-30,681,25.621011585914367,14.855373978611622,1.6773757712845954,-9.944336460768943,2.5764425496855354,90.26297855863304,1.3226991052095478,0.1466161097628378,2.257275980380813,65,9.544787077826726,65,9.544787077826726,42
40,6,2023-07-05,2026-04-30,681,25.303747918097397,14.784332383481672,1.6668924399727745,-9.980455275413169,2.535330024516329,88.91102811391067,1.0054354373925776,0.1361327784510169,2.221157165736587,77,11.30690161527166,77,11.30690161527166,48
35,2,2023-07-05,2026-04-30,681,24.091339628493678,14.212891571892802,1.6566315405826209,-9.944336460768955,2.4226191182826082,83.80176210789112,-0.20697285221114115,0.12587187906086328,2.2572759803808005,129,18.94273127753304,129,18.94273127753304,82
30,2,2023-07-05,2026-04-30,681,24.351677392720106,14.358836500205022,1.65647583756884,-9.944336460768922,2.448798619072184,84.89124690408416,0.05336491201528659,0.1257161760470824,2.257275980380834,125,18.355359765051396,125,18.355359765051396,82
30,8,2023-07-05,2026-04-30,681,25.303781882457766,14.99671709363201,1.6453711044355712,-9.854213210426066,2.567813517134536,88.91117251278177,1.005469401752947,0.11461144291381364,2.34739923072369,46,6.7547723935389135,46,6.7547723935389135,28
20,8,2023-07-05,2026-04-30,681,25.748057123100978,15.27864558871555,1.642011588725088,-10.672639304200116,2.4125294961451638,90.80610135555443,1.4497446423961584,0.11125192720333033,1.5289731369496398,29,4.258443465491924,29,4.258443465491924,16
40,2,2023-07-05,2026-04-30,681,23.901149379634635,14.261551668524572,1.6402323259571332,-9.944336460768932,2.4034936341832616,83.00846191565381,-0.39716310107018415,0.10947266443537562,2.2572759803808236,126,18.502202643171806,126,18.502202643171806,78
55,6,2023-07-05,2026-04-30,681,24.942888921857854,14.865246402300386,1.6383697199003118,-10.070452315251565,2.4768389880643378,87.38086034078056,0.6445764411530348,0.1076100583785542,2.131160125898191,67,9.838472834067549,67,9.838472834067549,44
45,6,2023-07-05,2026-04-30,681,24.917770226007963,14.863747934154672,1.6371072028616047,-9.980455275413114,2.496656669299744,87.27464718392032,0.6194577453031442,0.10634754133984714,2.221157165736642,67,9.838472834067549,67,9.838472834067549,44
50,6,2023-07-05,2026-04-30,681,24.917770226007917,14.863747934154672,1.6371072028616047,-10.070452315251554,2.4743446913770017,87.27464718392012,0.619457745303098,0.10634754133984714,2.1311601258982016,67,9.838472834067549,67,9.838472834067549,44
53,6,2023-07-05,2026-04-30,681,24.917770226007917,14.863747934154672,1.6371072028616047,-10.070452315251554,2.4743446913770017,87.27464718392012,0.619457745303098,0.10634754133984714,2.1311601258982016,67,9.838472834067549,67,9.838472834067549,44
80,6,2023-07-05,2026-04-30,681,24.978869608681386,14.915950335227986,1.6353382851807776,-10.070452315251554,2.480411884861542,87.5330706045291,0.6805571279765665,0.10457862365902004,2.1311601258982016,73,10.719530102790015,73,10.719530102790015,40
