window,case,ma,days,annual,sharpe,max_dd,annual_delta,sharpe_delta,max_dd_delta,defense_days,defense_days_pct
full,current_MA53_13_no_stirrer,53,13,31.276544361208792,2.5383533283589275,-11.380932944868682,0.22096668203397485,0.08434380852270973,0.8206794962810182,237,6.015228426395939
full,current_MA53_13_with_stirrer,53,13,31.45936584231659,2.521144214461152,-11.936913813673977,0.4037881631417725,0.0671346946249342,0.2646986274757239,114,2.8934010152284264
full,best_no_stirrer,80,8,30.451188244193172,2.558896903820623,-11.009926007679782,-0.6043894349816448,0.10488738398440534,1.1916864334699184,454,11.522842639593907
full,best_with_stirrer,53,13,31.45936584231659,2.521144214461152,-11.936913813673977,0.4037881631417725,0.0671346946249342,0.2646986274757239,114,2.8934010152284264
last_10y,current_MA53_13_no_stirrer,53,13,32.77952467630703,2.3014511720101196,-11.380932944868704,0.9427061743337184,0.12452413237994353,0.8206794962809969,189,7.790601813685079
last_10y,current_MA53_13_with_stirrer,53,13,32.74611899278583,2.270697174659644,-11.936913813673955,0.9093004908125232,0.0937701350294677,0.2646986274757452,92,3.7922506183017313
last_10y,best_no_stirrer,65,8,31.819098166060588,2.327996180801959,-11.181175012701338,-0.017720335912720486,0.15106914117178283,1.0204374284483624,388,15.993404781533387
last_10y,best_with_stirrer,53,13,32.74611899278583,2.270697174659644,-11.936913813673955,0.9093004908125232,0.0937701350294677,0.2646986274757452,92,3.7922506183017313
last_5y,current_MA53_13_no_stirrer,53,13,35.05462929952705,2.076881424080216,-10.821260799832011,2.6577869156814558,0.1999464466691825,1.3803516413177004,93,7.698675496688742
last_5y,current_MA53_13_with_stirrer,53,13,34.16879647219078,2.006393141073893,-11.936913813673966,1.7719540883451828,0.12945816366286,0.2646986274757452,62,5.132450331125828
last_5y,best_no_stirrer,75,6,33.633933005451524,2.117945450568274,-9.839532731107647,1.2370906216059296,0.24101047315724045,2.362079710042064,263,21.771523178807946
last_5y,best_with_stirrer,55,6,33.55953827275027,2.015429668912053,-10.77628791341656,1.162695888904672,0.1384946915010199,1.4253245277331512,125,10.3476821192053
last_3y,current_MA53_13_no_stirrer,53,13,31.99339584580838,2.061301778931213,-10.015257329125804,4.434722502891297,0.34762307293529204,2.186355112023941,78,10.78838174273859
last_3y,current_MA53_13_with_stirrer,53,13,30.05598630299864,1.9175912240806268,-11.936913813673955,2.4973129600815582,0.2039125180847056,0.2646986274757896,54,7.468879668049793
last_3y,best_no_stirrer,53,13,31.99339584580838,2.061301778931213,-10.015257329125804,4.434722502891297,0.34762307293529204,2.186355112023941,78,10.78838174273859
last_3y,best_with_stirrer,50,8,29.489965031048616,1.9253982657181183,-10.198120040692926,1.9312916881315336,0.2117195597221974,2.0034924004568198,89,12.309820193637622
