ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count
20,2,2023-07-05,2026-04-30,681,23.13580779027795,14.592488046091704,1.5619730819721087,-10.761944333055695,2.1497795448742005,79.83849876051288,-1.1625046904268679,0.031213420450351137,1.439668108094061,116,17.033773861967695,116,17.033773861967695,80
20,4,2023-07-05,2026-04-30,681,23.02245535183147,14.845280152438658,1.5313871501303609,-10.761944333055729,2.1392468348973996,79.3720410182055,-1.2758571288733478,0.0006274886086032883,1.4396681080940272,79,11.600587371512482,79,11.600587371512482,58
20,6,2023-07-05,2026-04-30,681,24.97794703244267,15.072622689043905,1.6198218621438312,-10.76194433305574,2.3209511459487775,87.5291668039863,0.6796345517378519,0.0890622006220736,1.4396681080940166,51,7.488986784140969,51,7.488986784140969,38
20,8,2023-07-05,2026-04-30,681,25.748057123100978,15.27864558871555,1.642011588725088,-10.672639304200116,2.4125294961451638,90.80610135555443,1.4497446423961584,0.11125192720333033,1.5289731369496398,29,4.258443465491924,29,4.258443465491924,16
20,10,2023-07-05,2026-04-30,681,25.242964957752868,15.37323027086451,1.605510877066225,-10.672639304200104,2.365203605055665,88.65272456476414,0.9446524770480487,0.0747512155444674,1.5289731369496522,18,2.643171806167401,18,2.643171806167401,12
20,12,2023-07-05,2026-04-30,681,24.833651750844066,15.50557411877519,1.5710984064008335,-10.909208398572778,2.276393560699875,86.91923935049759,0.5353392701392465,0.04033874487907596,1.2924040425769778,9,1.3215859030837005,9,1.3215859030837005,6
20,13,2023-07-05,2026-04-30,681,24.265632391631243,15.590987533763059,1.5328088013498762,-12.201612441149711,1.9887234173899713,84.53069827221465,-0.03268008907357611,0.002049139828118607,4.440892098500626e-14,6,0.881057268722467,6,0.881057268722467,2
20,14,2023-07-05,2026-04-30,681,24.265632391631243,15.590987533763059,1.5328088013498762,-12.201612441149711,1.9887234173899713,84.53069827221465,-0.03268008907357611,0.002049139828118607,4.440892098500626e-14,5,0.7342143906020557,5,0.7342143906020557,2
20,16,2023-07-05,2026-04-30,681,24.199399815636834,15.592138759724833,1.5291357185163652,-12.201612441149766,1.9832952351465203,84.25347762320476,-0.09891266506798502,-0.0016239430053923698,-1.0658141036401503e-14,3,0.4405286343612335,3,0.4405286343612335,2
20,18,2023-07-05,2026-04-30,681,23.878458966535177,15.610823381276978,1.5101821052689282,-12.2016124411497,1.9569920845875697,82.91396603841541,-0.4198535141696418,-0.02057755625282942,5.5067062021407764e-14,1,0.14684287812041116,1,0.14684287812041116,2
20,20,2023-07-05,2026-04-30,681,24.29831248070482,15.634185330329084,1.5307596615217576,-12.201612441149756,1.9914017592264381,84.66758197695955,0.0,0.0,0.0,0,0.0,0,0.0,0
20,22,2023-07-05,2026-04-30,681,24.29831248070482,15.634185330329084,1.5307596615217576,-12.201612441149756,1.9914017592264381,84.66758197695955,0.0,0.0,0.0,0,0.0,0,0.0,0
20,24,2023-07-05,2026-04-30,681,24.29831248070482,15.634185330329084,1.5307596615217576,-12.201612441149756,1.9914017592264381,84.66758197695955,0.0,0.0,0.0,0,0.0,0,0.0,0
20,26,2023-07-05,2026-04-30,681,24.29831248070482,15.634185330329084,1.5307596615217576,-12.201612441149756,1.9914017592264381,84.66758197695955,0.0,0.0,0.0,0,0.0,0,0.0,0
20,28,2023-07-05,2026-04-30,681,24.29831248070482,15.634185330329084,1.5307596615217576,-12.201612441149756,1.9914017592264381,84.66758197695955,0.0,0.0,0.0,0,0.0,0,0.0,0
